record_id,equipment_id,equipment_name,component,fault_message,symptoms,root_cause,action_taken,downtime_minutes,severity,days_since_overhaul
FH-0116,TSA-UTL-GCP-011,Gas Compressor,compressor surge,COMPRESSOR_SURGE,"compressor surge pattern with vibration 5.45 mm/s, pressure 100.4 bar, oil quality 69.2",inlet filter restriction,Check separator differential pressure,200,high,224
FH-0117,TSA-UTL-DCF-015,Dust Collection Fan,baghouse restriction,BAGHOUSE_RESTRICTION,"baghouse restriction pattern with vibration 5.33 mm/s, pressure 108.8 bar, oil quality 70.4",filter bag blinding,Seal duct leakage,464,high,256
FH-0118,TSA-BF-HBV-006,Hot Blast Valve,valve sticking,VALVE_STICKING,"valve sticking pattern with vibration 3.25 mm/s, pressure 93.4 bar, oil quality 68.0",scale buildup,Inspect actuator leakage,119,high,155
FH-0119,TSA-SMS-EAF-022,Electric Arc Furnace Transformer,tap changer wear,TAP_CHANGER_WEAR,"tap changer wear pattern with vibration 4.59 mm/s, pressure 102.1 bar, oil quality 75.5",tap contact erosion,Check winding temperature,398,high,255
FH-0120,TSA-SIN-CDR-012,Sinter Conveyor Drive,oil contamination,OIL_CONTAMINATION,"oil contamination pattern with vibration 5.1 mm/s, pressure 107.9 bar, oil quality 50.7",misalignment,Check belt loading,242,medium,66
FH-0121,TSA-CKE-EFN-010,Coke Oven Exhaust Fan,fan imbalance,FAN_IMBALANCE,"fan imbalance pattern with vibration 5.33 mm/s, pressure 137.4 bar, oil quality 82.4",dust buildup,Align belt drive,114,high,180
FH-0122,TSA-BF-CPM-005,Blast Furnace Cooling Pump,low flow,LOW_FLOW,"low flow pattern with vibration 3.7 mm/s, pressure 95.8 bar, oil quality 66.8",impeller erosion,Inspect mechanical seal,406,high,147
FH-0123,TSA-RMH-CNV-014,Raw Material Conveyor,belt tracking fault,BELT_TRACKING_FAULT,"belt tracking fault pattern with vibration 3.17 mm/s, pressure 114.2 bar, oil quality 77.2",skewed pulley,Clean carryback points,449,medium,155
FH-0124,TSA-UTL-AHU-016,Air Handling Unit,filter choking,FILTER_CHOKING,"filter choking pattern with vibration 3.45 mm/s, pressure 111.2 bar, oil quality 85.7",filter loading,Check fan belt tension,373,high,20
FH-0125,TSA-BF-BLR-004,Blast Furnace Blower,impeller imbalance,IMPELLER_IMBALANCE,"impeller imbalance pattern with vibration 4.43 mm/s, pressure 119.8 bar, oil quality 70.5",dust deposition on impeller,Balance impeller,373,high,58
FH-0126,TSA-CKE-EFN-010,Coke Oven Exhaust Fan,fan imbalance,FAN_IMBALANCE,"fan imbalance pattern with vibration 5.33 mm/s, pressure 137.4 bar, oil quality 82.4",dust buildup,Inspect fan bearings,308,medium,25
FH-0127,TSA-SIN-CDR-012,Sinter Conveyor Drive,oil contamination,OIL_CONTAMINATION,"oil contamination pattern with vibration 5.1 mm/s, pressure 107.9 bar, oil quality 50.7",misalignment,Check belt loading,481,high,103
FH-0128,TSA-SIN-CDR-012,Sinter Conveyor Drive,oil contamination,OIL_CONTAMINATION,"oil contamination pattern with vibration 5.1 mm/s, pressure 107.9 bar, oil quality 50.7",coupling backlash,Clear material buildup,477,medium,216
FH-0129,TSA-BF-CHG-021,Blast Furnace Charging Conveyor,belt misalignment,BELT_MISALIGNMENT,"belt misalignment pattern with vibration 6.65 mm/s, pressure 100.0 bar, oil quality 44.3",tracking drift,Replace seized idlers,331,high,196
FH-0130,TSA-SMS-LTC-008,Ladle Transfer Car,wheel bearing failure,WHEEL_BEARING_FAILURE,"wheel bearing failure pattern with vibration 4.18 mm/s, pressure 100.3 bar, oil quality 89.4",bearing fatigue,Check encoder feedback,513,high,217
FH-0131,TSA-UTL-DCF-015,Dust Collection Fan,baghouse restriction,BAGHOUSE_RESTRICTION,"baghouse restriction pattern with vibration 5.33 mm/s, pressure 108.8 bar, oil quality 70.4",filter bag blinding,Inspect fan rotor,108,medium,161
FH-0132,TSA-UTL-WTP-018,Water Treatment Pump,seal wear,SEAL_WEAR,"seal wear pattern with vibration 3.25 mm/s, pressure 125.1 bar, oil quality 80.5",seal face damage,Verify bearing vibration,541,high,127
FH-0133,TSA-BF-BLR-004,Blast Furnace Blower,bearing temperature rise,BEARING_TEMPERATURE_RISE,"bearing temperature rise pattern with vibration 4.43 mm/s, pressure 119.8 bar, oil quality 70.5",bearing lubrication degradation,Inspect bearing lubrication,291,medium,165
FH-0134,TSA-SMS-APU-007,Argon Purging Unit,line restriction,LINE_RESTRICTION,"line restriction pattern with vibration 3.26 mm/s, pressure 115.1 bar, oil quality 68.8",line moisture ingress,Validate flow meter,385,medium,107
FH-0135,TSA-RM-CNV-020,Rolling Mill Conveyor System,idler seizure,IDLER_SEIZURE,"idler seizure pattern with vibration 4.53 mm/s, pressure 128.7 bar, oil quality 72.3",idler bearing contamination,Replace seized idlers,310,medium,20
FH-0136,TSA-RM-MTR-001,Rolling Mill Drive Motor,overheating,OVERHEATING,"overheating pattern with vibration 4.97 mm/s, pressure 106.7 bar, oil quality 55.6",rotor eccentricity,Perform insulation resistance test,388,high,143
FH-0137,TSA-BF-CHG-021,Blast Furnace Charging Conveyor,belt misalignment,BELT_MISALIGNMENT,"belt misalignment pattern with vibration 6.65 mm/s, pressure 100.0 bar, oil quality 44.3",tracking drift,Check pulley lagging,142,high,69
FH-0138,HRM-ROLL-01,Finishing Mill Work Roll,bearing degradation,BEARING_DEGRADATION,"bearing degradation pattern with vibration 8.12 mm/s, pressure 110.2 bar, oil quality 34.7",bearing lubrication loss,Retorque chock clamp,455,critical,67
FH-0139,TSA-UTL-CTP-017,Cooling Tower Pump,pump cavitation,PUMP_CAVITATION,"pump cavitation pattern with vibration 4.9 mm/s, pressure 106.5 bar, oil quality 79.0",blocked suction strainer,Verify cooling-water flow,540,medium,47
FH-0140,TSA-SMS-LTC-008,Ladle Transfer Car,drive chain wear,DRIVE_CHAIN_WEAR,"drive chain wear pattern with vibration 4.18 mm/s, pressure 100.3 bar, oil quality 89.4",rail misalignment,Check encoder feedback,158,high,207
FH-0141,TSA-CKE-EFN-010,Coke Oven Exhaust Fan,fan imbalance,FAN_IMBALANCE,"fan imbalance pattern with vibration 5.33 mm/s, pressure 137.4 bar, oil quality 82.4",dust buildup,Inspect fan bearings,335,medium,98
FH-0142,TSA-UTL-DCF-015,Dust Collection Fan,baghouse restriction,BAGHOUSE_RESTRICTION,"baghouse restriction pattern with vibration 5.33 mm/s, pressure 108.8 bar, oil quality 70.4",filter bag blinding,Inspect fan rotor,230,medium,204
FH-0143,TSA-BF-HBV-006,Hot Blast Valve,valve sticking,VALVE_STICKING,"valve sticking pattern with vibration 3.25 mm/s, pressure 93.4 bar, oil quality 68.0",scale buildup,Stroke-test valve,514,high,215
FH-0144,TSA-RM-CNV-020,Rolling Mill Conveyor System,drive pulley wear,DRIVE_PULLEY_WEAR,"drive pulley wear pattern with vibration 4.53 mm/s, pressure 128.7 bar, oil quality 72.3",pulley lagging wear,Replace seized idlers,136,medium,128
FH-0145,TSA-RM-MTR-001,Rolling Mill Drive Motor,overheating,OVERHEATING,"overheating pattern with vibration 4.97 mm/s, pressure 106.7 bar, oil quality 55.6",rotor eccentricity,Inspect rotor balance and cooling fan,305,high,84
FH-0146,TSA-UTL-CTP-017,Cooling Tower Pump,seal leakage,SEAL_LEAKAGE,"seal leakage pattern with vibration 4.9 mm/s, pressure 106.5 bar, oil quality 79.0",mechanical seal wear,Inspect mechanical seal,545,high,198
FH-0147,TSA-SIN-SCR-023,Sinter Screen Drive,deck clogging,DECK_CLOGGING,"deck clogging pattern with vibration 4.1 mm/s, pressure 109.6 bar, oil quality 87.4",screen aperture blinding,Balance screen drive,356,medium,225
FH-0148,TSA-SIN-SCR-023,Sinter Screen Drive,screen vibration imbalance,SCREEN_VIBRATION_IMBALANCE,"screen vibration imbalance pattern with vibration 4.1 mm/s, pressure 109.6 bar, oil quality 87.4",uneven material loading,Check deck clogging,498,high,89
FH-0149,TSA-SIN-EFN-013,Sinter Exhaust Fan,fan imbalance,FAN_IMBALANCE,"fan imbalance pattern with vibration 6.54 mm/s, pressure 128.8 bar, oil quality 52.9",dust buildup,Align belt drive,317,high,170
FH-0150,TSA-SIN-SCR-023,Sinter Screen Drive,deck clogging,DECK_CLOGGING,"deck clogging pattern with vibration 4.1 mm/s, pressure 109.6 bar, oil quality 87.4",screen aperture blinding,Check deck clogging,486,medium,71
